neuron,timestep
Brick-1.59,270
Brick-1.60,270
Brick-1.62,270
Brick-1.85,270
Brick-1.108,270
Brick-1.113,270
Brick-1.126,270
Brick-1.134,270
Brick-1.139,270
Brick-1.149,270
Brick-1.154,270
Brick-1.156,270
Brick-1.171,270
Brick-1.172,270
Brick-1.187,270
Brick-1.192,270
Brick-1.112,271
Brick-1.157,271
Brick-1.31,272
Brick-1.72,272
Brick-1.151,272
Brick-1.53,273
Brick-1.61,273
Brick-1.110,273
Brick-1.138,273
Brick-1.140,273
Brick-1.185,273
Brick-1.196,273
Brick-1.36,274
Brick-1.42,274
Brick-1.65,274
Brick-1.153,275
Brick-1.162,275
Brick-1.64,276
Brick-1.71,276
Brick-1.83,276
Brick-1.11,277
Brick-1.69,277
Brick-1.93,277
Brick-1.158,277
Brick-1.123,278
Brick-1.173,279
Brick-1.35,280
Brick-1.48,280
Brick-1.75,280
Brick-1.88,280
Brick-1.100,280
Brick-1.130,280
Brick-1.135,280
Brick-1.41,281
Brick-1.177,281
Brick-1.24,282
Brick-1.29,282
Brick-1.63,282
Brick-1.73,282
Brick-1.90,282
Brick-1.96,282
Brick-1.189,282
Brick-1.195,282
Brick-1.16,283
Brick-1.39,283
Brick-1.43,283
Brick-1.114,283
Brick-1.128,283
Brick-1.193,283
Brick-1.198,283
Brick-1.13,284
Brick-1.54,284
Brick-1.91,284
Brick-1.80,285
Brick-1.102,285
Brick-1.143,285
Brick-1.164,285
Brick-1.2,286
Brick-1.21,286
Brick-1.44,286
Brick-1.49,286
Brick-1.56,286
Brick-1.99,286
Brick-1.160,286
Brick-1.5,287
Brick-1.23,287
Brick-1.81,287
Brick-1.98,287
Brick-1.94,288
Brick-1.122,288
Brick-1.86,289
Brick-1.117,289
Brick-1.70,290
Brick-1.33,291
Brick-1.67,291
Brick-1.184,292
Brick-1.118,295
Brick-1.131,296
Brick-1.7,297
Brick-1.125,298
Brick-1.10,299
Brick-1.77,299
Brick-1.167,299
Brick-1.168,299
Brick-1.101,300
Brick-1.181,300
Brick-1.4,301
Brick-1.120,302
Brick-1.89,303
Brick-1.159,303
Brick-1.82,304
Brick-1.148,305
Brick-1.15,306
Brick-1.20,306
Brick-1.26,306
Brick-1.133,306
Brick-1.103,308
Brick-1.183,308
Brick-1.79,309
Brick-1.27,311
Brick-1.106,311
Brick-1.175,311
Brick-1.25,312
Brick-1.182,312
Brick-1.47,313
Brick-1.66,313
Brick-1.132,313
Brick-1.74,314
Brick-1.76,315
Brick-1.199,315
Brick-1.68,316
Brick-1.78,316
Brick-1.121,316
Brick-1.147,316
Brick-1.150,316
Brick-1.28,318
Brick-1.50,318
Brick-1.87,318
Brick-1.116,318
Brick-1.146,318
Brick-1.161,318
Brick-1.163,318
Brick-1.179,318
Brick-1.197,318
Brick-1.104,319
Brick-1.105,319
Brick-1.170,319
Brick-1.17,320
Brick-1.119,320
Brick-1.155,320
Brick-1.22,321
Brick-1.30,321
Brick-1.95,321
Brick-1.109,321
Brick-1.166,321
Brick-1.178,321
Brick-1.18,322
Brick-1.186,322
Brick-1.14,323
Brick-1.142,323
Brick-1.58,324
Brick-1.127,324
Brick-1.174,324
Brick-1.38,325
Brick-1.45,325
Brick-1.92,325
Brick-1.97,325
Brick-1.111,325
Brick-1.124,325
Brick-1.144,325
Brick-1.169,325
Brick-1.191,325
Brick-1.9,326
Brick-1.32,326
Brick-1.84,326
Brick-1.107,326
Brick-1.136,326
Brick-1.152,326
Brick-1.165,326
Brick-1.188,326
Brick-1.37,327
Brick-1.129,327
Brick-1.137,327
Brick-1.145,327
Brick-1.3,328
Brick-1.8,328
Brick-1.12,328
Brick-1.34,328
Brick-1.46,328
Brick-1.55,328
Brick-1.141,328
Brick-1.176,328
Brick-1.194,328
Brick-1.19,329
Brick-1.40,329
Brick-1.115,329
Brick-1.180,329
Brick-1.190,329
Brick-1.0,330
Brick-1.1,330
Brick-1.6,330
Brick-1.51,330
Brick-1.108,330
Brick-1.113,330
Brick-1.134,330
Brick-1.149,330
Brick-1.156,330
Brick-1.52,331
Brick-1.57,331
Brick-1.59,331
Brick-1.60,331
Brick-1.62,331
Brick-1.85,331
Brick-1.126,331
Brick-1.139,331
Brick-1.154,331
Brick-1.171,331
Brick-1.187,331
Brick-1.192,331
Brick-1.172,332
Brick-1.31,333
Brick-1.72,333
Brick-1.151,333
Brick-1.112,334
Brick-1.157,334
Brick-1.61,335
Brick-1.138,335
Brick-1.140,335
Brick-1.196,335
Brick-1.53,336
Brick-1.110,336
Brick-1.185,336
Brick-1.36,337
Brick-1.65,337
Brick-1.83,338
Brick-1.42,339
Brick-1.162,339
Brick-1.64,340
Brick-1.69,340
Brick-1.71,340
Brick-1.153,340
Brick-1.11,341
Brick-1.93,341
Brick-1.158,341
Brick-1.160,341
Brick-1.173,342
Brick-1.75,343
Brick-1.135,343
Brick-1.48,344
Brick-1.100,344
Brick-1.35,345
Brick-1.41,345
Brick-1.88,345
Brick-1.123,345
Brick-1.130,345
Brick-1.24,346
Brick-1.90,346
Brick-1.96,346
Brick-1.122,346
Brick-1.177,346
Brick-1.29,347
Brick-1.33,347
Brick-1.63,347
Brick-1.73,347
Brick-1.189,347
Brick-1.195,347
Brick-1.16,348
Brick-1.43,348
Brick-1.114,348
Brick-1.128,348
Brick-1.39,349
Brick-1.184,349
Brick-1.193,349
Brick-1.198,349
Brick-1.54,350
Brick-1.102,351
Brick-1.118,351
Brick-1.13,352
Brick-1.80,352
Brick-1.91,352
Brick-1.10,353
Brick-1.49,353
Brick-1.99,353
Brick-1.143,353
Brick-1.164,353
Brick-1.167,353
Brick-1.2,354
Brick-1.21,354
Brick-1.44,354
Brick-1.56,354
Brick-1.168,354
Brick-1.77,355
Brick-1.101,355
Brick-1.5,356
Brick-1.23,356
Brick-1.98,356
Brick-1.81,357
Brick-1.89,357
Brick-1.94,357
Brick-1.159,357
Brick-1.86,358
Brick-1.117,358
Brick-1.120,358
Brick-1.148,358
Brick-1.70,359
Brick-1.15,360
Brick-1.20,360
Brick-1.26,360
Brick-1.82,360
Brick-1.133,360
Brick-1.67,361
Brick-1.103,361
Brick-1.183,361
Brick-1.79,364
Brick-1.27,365
Brick-1.131,365
Brick-1.7,366
Brick-1.175,366
Brick-1.25,367
Brick-1.106,367
Brick-1.47,368
Brick-1.125,368
Brick-1.132,368
Brick-1.66,369
Brick-1.182,369
Brick-1.74,370
Brick-1.76,370
Brick-1.150,371
Brick-1.181,371
Brick-1.199,371
Brick-1.68,372
Brick-1.78,372
Brick-1.121,372
Brick-1.147,372
Brick-1.4,373
Brick-1.28,374
Brick-1.50,374
Brick-1.87,374
Brick-1.116,374
Brick-1.146,374
Brick-1.161,374
Brick-1.163,374
Brick-1.179,374
Brick-1.197,374
Brick-1.104,375
Brick-1.170,375
Brick-1.105,376
Brick-1.17,377
Brick-1.119,377
Brick-1.155,377
Brick-1.22,378
Brick-1.30,378
Brick-1.95,378
Brick-1.109,378
Brick-1.166,378
Brick-1.178,378
Brick-1.18,379
Brick-1.186,379
Brick-1.14,381
Brick-1.142,381
Brick-1.127,382
Brick-1.144,382
Brick-1.169,382
Brick-1.174,382
Brick-1.191,382
Brick-1.38,383
Brick-1.45,383
Brick-1.58,383
Brick-1.124,383
Brick-1.9,384
Brick-1.32,384
Brick-1.92,384
Brick-1.97,384
Brick-1.136,384
Brick-1.165,384
Brick-1.84,385
Brick-1.107,385
Brick-1.111,385
Brick-1.37,386
Brick-1.129,386
Brick-1.145,386
Brick-1.152,386
Brick-1.188,386
Brick-1.3,387
Brick-1.12,387
Brick-1.46,387
Brick-1.137,387
Brick-1.141,387
Brick-1.176,387
Brick-1.194,387
Brick-1.8,388
Brick-1.34,388
Brick-1.55,388
Brick-1.19,389
Brick-1.40,389
Brick-1.115,389
Brick-1.180,389
Brick-1.190,389
Brick-1.0,390
Brick-1.1,390
Brick-1.6,390
Brick-1.51,390
Brick-1.108,390
Brick-1.113,390
Brick-1.134,390
Brick-1.149,390
Brick-1.156,390
Brick-1.52,392
Brick-1.57,392
Brick-1.59,392
Brick-1.62,392
Brick-1.85,392
Brick-1.139,392
Brick-1.171,392
Brick-1.187,392
Brick-1.60,393
Brick-1.126,393
Brick-1.151,393
Brick-1.154,393
Brick-1.160,393
Brick-1.192,393
Brick-1.31,394
Brick-1.72,394
Brick-1.172,395
Brick-1.61,397
Brick-1.157,397
Brick-1.196,397
Brick-1.112,398
Brick-1.138,398
Brick-1.140,398
Brick-1.53,399
Brick-1.83,399
Brick-1.110,399
Brick-1.185,399
Brick-1.36,400
Brick-1.65,400
Brick-1.33,401
Brick-1.122,401
Brick-1.69,402
Brick-1.64,403
Brick-1.153,403
Brick-1.162,403
Brick-1.11,404
Brick-1.42,404
Brick-1.71,404
Brick-1.158,404
Brick-1.184,404
Brick-1.93,405
Brick-1.118,405
Brick-1.173,405
Brick-1.135,406
Brick-1.48,407
Brick-1.75,407
Brick-1.168,407
Brick-1.35,408
Brick-1.88,408
Brick-1.100,408
Brick-1.10,409
Brick-1.167,409
Brick-1.41,410
Brick-1.96,410
Brick-1.123,410
Brick-1.130,410
Brick-1.177,410
Brick-1.24,411
Brick-1.29,411
Brick-1.63,411
Brick-1.73,411
Brick-1.90,411
Brick-1.101,411
Brick-1.77,412
Brick-1.189,412
Brick-1.195,412
Brick-1.16,413
Brick-1.39,413
Brick-1.43,413
Brick-1.89,413
Brick-1.128,413
Brick-1.114,414
Brick-1.120,414
Brick-1.193,414
Brick-1.198,414
Brick-1.20,415
Brick-1.54,415
Brick-1.159,415
Brick-1.15,416
Brick-1.102,416
Brick-1.148,416
Brick-1.26,417
Brick-1.82,417
Brick-1.133,417
Brick-1.13,418
Brick-1.21,418
Brick-1.80,418
Brick-1.183,418
Brick-1.2,419
Brick-1.44,419
Brick-1.49,419
Brick-1.91,419
Brick-1.99,419
Brick-1.103,419
Brick-1.143,419
Brick-1.164,419
Brick-1.56,420
Brick-1.79,420
Brick-1.23,421
Brick-1.27,421
Brick-1.175,421
Brick-1.25,422
Brick-1.98,422
Brick-1.5,423
Brick-1.47,423
Brick-1.106,423
Brick-1.132,423
Brick-1.76,424
Brick-1.94,424
Brick-1.66,425
Brick-1.81,425
Brick-1.74,426
Brick-1.182,426
Brick-1.117,427
Brick-1.68,428
Brick-1.70,428
Brick-1.86,428
Brick-1.147,428
Brick-1.199,428
Brick-1.67,429
Brick-1.78,429
Brick-1.121,429
Brick-1.150,429
Brick-1.87,430
Brick-1.146,430
Brick-1.161,430
Brick-1.163,430
Brick-1.179,430
Brick-1.197,430
Brick-1.28,431
Brick-1.50,431
Brick-1.104,431
Brick-1.116,431
Brick-1.170,432
Brick-1.119,434
Brick-1.155,434
Brick-1.105,435
Brick-1.7,436
Brick-1.17,436
Brick-1.22,436
Brick-1.30,436
Brick-1.95,436
Brick-1.109,436
Brick-1.18,437
Brick-1.131,437
Brick-1.166,437
Brick-1.178,437
Brick-1.186,437
Brick-1.125,438
Brick-1.14,439
Brick-1.142,439
Brick-1.169,439
Brick-1.127,440
Brick-1.144,440
Brick-1.174,440
Brick-1.191,440
Brick-1.9,441
Brick-1.38,441
Brick-1.124,441
Brick-1.136,441
Brick-1.181,441
Brick-1.4,442
Brick-1.32,442
Brick-1.45,442
Brick-1.165,442
Brick-1.58,443
Brick-1.84,443
Brick-1.92,443
Brick-1.97,443
Brick-1.37,444
Brick-1.107,444
Brick-1.111,445
Brick-1.129,445
Brick-1.145,445
Brick-1.188,445
Brick-1.3,446
Brick-1.46,446
Brick-1.137,446
Brick-1.141,446
Brick-1.152,446
Brick-1.176,446
Brick-1.194,446
Brick-1.12,447
Brick-1.34,447
Brick-1.55,447
Brick-1.160,447
Brick-1.8,448
Brick-1.115,448
Brick-1.190,448
Brick-1.19,449
Brick-1.40,449
Brick-1.180,449
Brick-1.0,450
Brick-1.1,450
